,userID,eventID,status,time_score,location_score
155,1.17422E+14,1.51572E+15,0,0,0.797579777
156,1.17562E+14,4.06829E+14,0,0,0
157,1.17562E+14,7.95999E+14,0,0,0
158,1.17642E+14,1.05244E+14,1,0,0
159,1.17642E+14,5.53707E+14,0,0,0
160,1.17642E+14,1.03531E+15,0,0,0
161,1.17716E+14,5.87787E+14,0,0,0.396401464
162,1.17925E+14,4.82839E+14,1,0.359210604,0
163,1.17936E+14,8.02888E+14,1,0,0.797628058
164,1.17993E+14,9.34528E+14,1,0,0.397181017
165,1.17993E+14,5.22547E+14,1,0,0.397181017
166,1.18223E+14,7.95999E+14,1,0,0
167,1.18571E+14,6.31161E+14,0,0,0
168,1.18611E+14,5.08147E+14,1,0,0
169,1.18659E+14,1.63575E+15,1,0.379980298,0
170,1.18744E+14,4.06829E+14,1,0.158113883,0
171,1.18815E+14,9.05009E+14,1,0,0.397959298
172,1.18908E+14,4.94764E+14,1,0.278693206,0.398879213
173,1.18908E+14,4.82839E+14,1,0.439347712,0.398516944
174,1.18908E+14,7.95999E+14,1,0.197065856,0.398911747
175,1.18952E+14,9.22981E+14,1,0,0
176,1.19126E+14,5.38279E+14,0,0,0.398935488
177,1.19126E+14,1.72849E+15,0,0,0.398926959
178,1.19126E+14,9.29997E+14,0,0,0.39893436
179,1.19126E+14,1.03531E+15,0,0,0.39894226
180,1.19126E+14,1.621E+15,0,0,0.398921239
