"","V1"
"188774291465079","10.7694-10.7777824-10.7899704-10.767003764258-10.8171473-10.8585741-10.779492333935-10.803321980356-10.7694-10.79258767-10.79258767"
"188932614781344","10.785859280932-10.805812795616-10.779492333935-10.79258767-10.797913712459-10.660204542205-10.727359179346"
"189917894683001","10.779934425415-10.78267-10.7694-10.766129429041-10.781373055482-10.779492333935-10.762200730909-10.762200730909-10.729411608643-10.730852785315-10.730744814924-10.780833333333-10.8585741-10.803321980356-10.779492333935-10.803321980356-10.741962426559-10.7730503-10.773447283294-10.804150856204-10.779973522098"
"190758377929135","10.7829571025-10.772029089565-10.79258767-10.797913712459"
"190802747923257","10.766129429041-10.7899704-10.730744814924-10.780833333333-10.813112038302-10.8171473-10.803321980356-10.7694-10.759583317746"
"191477854524248","10.7694-10.779492333935-10.8585741-10.779492333935-10.79258767"
"191768501165993","10.726910700135-10.741962426559-10.79258767-10.755595133788-10.8068469617"
"191860567816048","10.7807903-10.797690545493-10.779492333935-10.794553763104-10.7903776-10.7940111-10.775833333333-10.8585741-10.7694-10.803321980356-10.779492333935-10.803321980356-10.7694-10.79258767-10.801144417231-10.778616976189-10.912801269844-10.78322577-10.755595133788-10.78322577"
"192136344460462","10.764627840446-10.795590790197-10.730744814924-10.726910700135-10.803321980356-10.803321980356-10.772056035797-10.803321980356-10.803321980356-10.7694-10.79258767-10.8013144-10.7916555-10.912801269844-10.784618187806-10.860573905-10.753842394284-10.75"
"192474881087926","10.726910700135-10.779492333935-10.79258767-10.79258767-10.7807903-10.801555428539"
"192594487743822","10.766129429041-10.7713156-10.7694"
"192639284405898","10.7777824-10.729411608643-10.780833333333-10.775833333333-10.726910700135-10.779492333935-10.7750301-10.726910700135"
"192791097725875","10.766129429041-10.730852785315-10.730744814924-10.780833333333-10.813112038302-10.8171473-10.803321980356"
"193016494372691","10.779934425415-10.766129429041-10.7899704-10.777698260699-10.780833333333-10.8171473"
"193719064300608","10.777698260699-10.766129429041-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699"
"194057864264889","10.764627840446-10.8585741-10.79258767-10.727599639211-10.726910700135"
"194177010926472","10.762200730909-10.79258767-10.781836791009-10.721595303042-10.7297592"
"195686584102673","10.766129429041-10.75-10.8585741-10.79258767-10.754866934655-10.801555428539"
"195808627423445","10.766129429041-10.7694-10.767009837608-10.730744814924-10.8474672-10.7899669"
"196329477376538","10.764627840446-10.741962426559-10.803321980356-10.797913712459-10.787859-10.8068469617-10.808119400078"
"196423554025795","10.766129429041-10.7899704-10.75-10.730744814924-10.8171473-10.874420983149"
