"","V1"
"194057864264889","106.79328430398-106.7607056-106.690557775-106.71904371941-106.71979033289"
"194177010926472","106.64913793909-106.690557775-106.68620570374-106.71171079013-106.7164459"
"195686584102673","106.70763201883-106.66667-106.7607056-106.690557775-106.66573171477-106.61765917017"
"195808627423445","106.70763201883-106.682-106.68780966473-106.72180771764-106.7708851-106.6647218"
"196329477376538","106.79328430398-106.69495011742-106.68441398812-106.64089067849-106.696373-106.63438665959-106.70286708101"
"196423554025795","106.70763201883-106.7022018-106.66667-106.72180771764-106.7296753-106.79841756821"
"196566947344202","106.6260587616-106.682-106.70602634292-106.69050920894-106.60165863424-105.90870925333"
"197031200630308","106.7047577-106.6241884-106.69050920894-106.6961517"
"198074330531022","106.7607056-106.690557775"
"199287123737754","106.72180771764-106.690557775-106.64089067849-106.69424160194"
"200318976967605","106.7025299-106.72180771764-106.75694444444-106.7025299-106.690557775-106.690557775-105.90870925333"
"204460536553079","106.7015-106.72180771764-106.690557775-106.70159954742"
"207265289605339","106.6286697-106.72180771764-106.68441398812-106.690557775-106.690557775-106.64089067849-106.61765917017-106.70286708101"
"208501676148665","106.64913793909-106.75694444444-106.68004735184-106.7607056-106.6992957846-106.69495011742-106.690557775-106.6414795-106.60165863424"
"218413778490224","106.6992957846-106.72197311559-106.70304728673-106.7296753-106.68441398812"
"315382211964039","106.71979033289-106.6992957846-106.690557775-106.690557775-106.64089067849-106.70286708101"
"330837237063231","106.72180771764-106.7607056-106.6992957846-106.69495011742-106.690557775-106.696373-106.72973920659"
"392648814275684","106.75694444444-106.696373-106.682-106.63438665959-106.61765917017-106.70286708101"
"403351013198649","106.70763201883-106.75694444444-106.68970151-106.682-106.68070414717-106.7045288"
"406586192845055","106.70519849333-106.7296753-106.690557775-106.690557775-106.65364089422-106.61784755225"
"406632259535745","106.70763201883-106.7607056-106.71979033289-106.75099489833"
"406638379532262","106.690557775-106.63438665959-106.61765917017-106.70286708101"
"407083886168985","106.682-106.72197311559-106.72180771764-106.7607056-106.696373-106.69424160194-106.67391541154"
"407507896114058","106.79328430398-106.7607056-106.71979033289-106.696373-106.7033615-106.69424160194-106.65364089422"
"407511526113695","106.682-106.682-106.65770991516-106.682-106.65770991516-106.65770991516-106.65770991516-106.65770991516-106.65770991516"
"408541722672692","106.72180771764-106.70304728673-106.7607056-106.6992957846-106.64089067849-106.69424160194-106.70682529841-106.6961517"
"410278995838442","106.7607056-106.71979033289-106.682-106.690557775-106.61765917017-106.70286708101"
"410447369161709","106.72180771764-106.7607056-106.6992957846-106.682-106.69771298045-106.68284527939"
"411111455752491","106.7022018-106.72180771764-106.7607056-106.69495011742-106.68441398812-106.690557775-106.690557775-106.66667"
"412039719004284","106.684227-106.6811295-106.682-106.70736002973-106.75694444444-106.7607056-105.85777777778"
"414349972092722","106.70763201883-106.70410661004-106.7296753-106.6950871708-106.70763201883-106.70763201883-106.7024765"
